factor,iteration,operation,sender_rank,receiver_rank,submit_ns,complete_ns,communication_duration_us,latency_factor,bandwidth_factor,latency_seconds,bandwidth_seconds,forward_stage_seconds
0.0,3,Comm_F_4_1_2,1,3,6549296874036475,6549296874432833,396.358,0.0,0.0,0.0,0.0,0.0
0.0,4,Comm_F_4_1_2,1,3,6549297125196244,6549297125587434,391.19,0.0,0.0,0.0,0.0,0.0
0.0,5,Comm_F_4_1_2,1,3,6549297456721451,6549297457122537,401.086,0.0,0.0,0.0,0.0,0.0
0.0,6,Comm_F_4_1_2,1,3,6549297760646632,6549297761054573,407.941,0.0,0.0,0.0,0.0,0.0
0.0,7,Comm_F_4_1_2,1,3,6549298119649667,6549298120065182,415.515,0.0,0.0,0.0,0.0,0.0
0.0,8,Comm_F_4_1_2,1,3,6549298457391024,6549298457790302,399.278,0.0,0.0,0.0,0.0,0.0
0.0,9,Comm_F_4_1_2,1,3,6549298808683315,6549298809049741,366.426,0.0,0.0,0.0,0.0,0.0
0.0,10,Comm_F_4_1_2,1,3,6549299147124720,6549299147503181,378.461,0.0,0.0,0.0,0.0,0.0
0.5,3,Comm_F_4_1_2,1,3,6562255210975095,6562255211526524,551.429,0.0,0.5,0.0,0.0034497897140681744,0.006899579428136349
0.5,4,Comm_F_4_1_2,1,3,6562255593826065,6562255594243062,416.997,0.0,0.5,0.0,0.0034497897140681744,0.006899579428136349
0.5,5,Comm_F_4_1_2,1,3,6562255945955691,6562255946420474,464.783,0.0,0.5,0.0,0.0034497897140681744,0.006899579428136349
0.5,6,Comm_F_4_1_2,1,3,6562256301008171,6562256301433372,425.201,0.0,0.5,0.0,0.0034497897140681744,0.006899579428136349
0.5,7,Comm_F_4_1_2,1,3,6562256667593070,6562256668068464,475.394,0.0,0.5,0.0,0.0034497897140681744,0.006899579428136349
0.5,8,Comm_F_4_1_2,1,3,6562257054840234,6562257055341246,501.012,0.0,0.5,0.0,0.0034497897140681744,0.006899579428136349
0.5,9,Comm_F_4_1_2,1,3,6562257418917829,6562257419307001,389.172,0.0,0.5,0.0,0.0034497897140681744,0.006899579428136349
0.5,10,Comm_F_4_1_2,1,3,6562257818420995,6562257818827746,406.751,0.0,0.5,0.0,0.0034497897140681744,0.006899579428136349
1.0,11,Comm_F_4_1_2,1,3,6562258752670210,6562258753179088,508.878,0.0,1.0,0.0,0.006899579428136349,0.006899579428136349
1.0,12,Comm_F_4_1_2,1,3,6562259053927468,6562259054333408,405.94,0.0,1.0,0.0,0.006899579428136349,0.006899579428136349
1.0,13,Comm_F_4_1_2,1,3,6562259535432880,6562259535851770,418.89,0.0,1.0,0.0,0.006899579428136349,0.006899579428136349
1.0,14,Comm_F_4_1_2,1,3,6562259958774469,6562259959266820,492.351,0.0,1.0,0.0,0.006899579428136349,0.006899579428136349
1.0,15,Comm_F_4_1_2,1,3,6562260390013245,6562260390505557,492.312,0.0,1.0,0.0,0.006899579428136349,0.006899579428136349
1.0,16,Comm_F_4_1_2,1,3,6562260763514634,6562260763999254,484.62,0.0,1.0,0.0,0.006899579428136349,0.006899579428136349
1.0,17,Comm_F_4_1_2,1,3,6562261105878320,6562261106275772,397.452,0.0,1.0,0.0,0.006899579428136349,0.006899579428136349
1.0,18,Comm_F_4_1_2,1,3,6562261419680422,6562261420094850,414.428,0.0,1.0,0.0,0.006899579428136349,0.006899579428136349
