panel,factor,iteration,dependency_id,operation,metric,value,unit
c,0.0,3,6,Comm_F_4_1_2,communication_duration,396.358,us
c,0.0,3,6,Comm_F_4_1_2,configured_transfer_delay,0.0,us
c,0.0,4,6,Comm_F_4_1_2,communication_duration,391.19,us
c,0.0,4,6,Comm_F_4_1_2,configured_transfer_delay,0.0,us
c,0.0,5,6,Comm_F_4_1_2,communication_duration,401.086,us
c,0.0,5,6,Comm_F_4_1_2,configured_transfer_delay,0.0,us
c,0.0,6,6,Comm_F_4_1_2,communication_duration,407.941,us
c,0.0,6,6,Comm_F_4_1_2,configured_transfer_delay,0.0,us
c,0.0,7,6,Comm_F_4_1_2,communication_duration,415.515,us
c,0.0,7,6,Comm_F_4_1_2,configured_transfer_delay,0.0,us
c,0.0,8,6,Comm_F_4_1_2,communication_duration,399.278,us
c,0.0,8,6,Comm_F_4_1_2,configured_transfer_delay,0.0,us
c,0.0,9,6,Comm_F_4_1_2,communication_duration,366.426,us
c,0.0,9,6,Comm_F_4_1_2,configured_transfer_delay,0.0,us
c,0.0,10,6,Comm_F_4_1_2,communication_duration,378.461,us
c,0.0,10,6,Comm_F_4_1_2,configured_transfer_delay,0.0,us
c,0.5,3,6,Comm_F_4_1_2,communication_duration,551.429,us
c,0.5,3,6,Comm_F_4_1_2,configured_transfer_delay,3449.7897140681744,us
c,0.5,4,6,Comm_F_4_1_2,communication_duration,416.997,us
c,0.5,4,6,Comm_F_4_1_2,configured_transfer_delay,3449.7897140681744,us
c,0.5,5,6,Comm_F_4_1_2,communication_duration,464.783,us
c,0.5,5,6,Comm_F_4_1_2,configured_transfer_delay,3449.7897140681744,us
c,0.5,6,6,Comm_F_4_1_2,communication_duration,425.201,us
c,0.5,6,6,Comm_F_4_1_2,configured_transfer_delay,3449.7897140681744,us
c,0.5,7,6,Comm_F_4_1_2,communication_duration,475.394,us
c,0.5,7,6,Comm_F_4_1_2,configured_transfer_delay,3449.7897140681744,us
c,0.5,8,6,Comm_F_4_1_2,communication_duration,501.012,us
c,0.5,8,6,Comm_F_4_1_2,configured_transfer_delay,3449.7897140681744,us
c,0.5,9,6,Comm_F_4_1_2,communication_duration,389.172,us
c,0.5,9,6,Comm_F_4_1_2,configured_transfer_delay,3449.7897140681744,us
c,0.5,10,6,Comm_F_4_1_2,communication_duration,406.751,us
c,0.5,10,6,Comm_F_4_1_2,configured_transfer_delay,3449.7897140681744,us
c,1.0,11,6,Comm_F_4_1_2,communication_duration,508.878,us
c,1.0,11,6,Comm_F_4_1_2,configured_transfer_delay,6899.579428136349,us
c,1.0,12,6,Comm_F_4_1_2,communication_duration,405.94,us
c,1.0,12,6,Comm_F_4_1_2,configured_transfer_delay,6899.579428136349,us
c,1.0,13,6,Comm_F_4_1_2,communication_duration,418.89,us
c,1.0,13,6,Comm_F_4_1_2,configured_transfer_delay,6899.579428136349,us
c,1.0,14,6,Comm_F_4_1_2,communication_duration,492.351,us
c,1.0,14,6,Comm_F_4_1_2,configured_transfer_delay,6899.579428136349,us
c,1.0,15,6,Comm_F_4_1_2,communication_duration,492.312,us
c,1.0,15,6,Comm_F_4_1_2,configured_transfer_delay,6899.579428136349,us
c,1.0,16,6,Comm_F_4_1_2,communication_duration,484.62,us
c,1.0,16,6,Comm_F_4_1_2,configured_transfer_delay,6899.579428136349,us
c,1.0,17,6,Comm_F_4_1_2,communication_duration,397.452,us
c,1.0,17,6,Comm_F_4_1_2,configured_transfer_delay,6899.579428136349,us
c,1.0,18,6,Comm_F_4_1_2,communication_duration,414.428,us
c,1.0,18,6,Comm_F_4_1_2,configured_transfer_delay,6899.579428136349,us
b,0.0,3,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,411.615,us
b,0.0,3,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,265.673,us
b,0.0,3,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,229.104,us
b,0.0,3,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,183.544,us
b,0.0,3,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,11206.574,us
b,0.0,3,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,271.016,us
b,0.0,3,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,198.717,us
b,0.0,3,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,17279.346,us
b,0.0,3,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,299.779,us
b,0.0,3,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,79.199,us
b,0.0,3,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,30775.955,us
b,0.0,3,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,274.6,us
b,0.0,3,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,192.344,us
b,0.0,3,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,6487.39,us
b,0.0,3,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,210.996,us
b,0.0,3,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,79.576,us
b,0.0,3,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,149.06,us
b,0.0,3,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,246.186,us
b,0.0,3,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,189.725,us
b,0.0,3,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,251.474,us
b,0.0,3,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,325.662,us
b,0.0,4,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,417.735,us
b,0.0,4,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,2491.045,us
b,0.0,4,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,308.564,us
b,0.0,4,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,168.831,us
b,0.0,4,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,25063.976,us
b,0.0,4,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,324.165,us
b,0.0,4,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,80.136,us
b,0.0,4,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,29911.222,us
b,0.0,4,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,377.251,us
b,0.0,4,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,85.353,us
b,0.0,4,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,46478.874,us
b,0.0,4,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,393.958,us
b,0.0,4,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,202.182,us
b,0.0,4,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,3031.766,us
b,0.0,4,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,251.644,us
b,0.0,4,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,188.467,us
b,0.0,4,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,250.629,us
b,0.0,4,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,266.641,us
b,0.0,4,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,82.997,us
b,0.0,4,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,168.992,us
b,0.0,4,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,303.906,us
b,0.0,5,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,341.765,us
b,0.0,5,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,1958.39,us
b,0.0,5,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,362.366,us
b,0.0,5,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,79.314,us
b,0.0,5,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,26417.831,us
b,0.0,5,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,396.104,us
b,0.0,5,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,83.124,us
b,0.0,5,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,28873.024,us
b,0.0,5,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,379.059,us
b,0.0,5,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,199.338,us
b,0.0,5,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,31169.843,us
b,0.0,5,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,341.321,us
b,0.0,5,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,188.207,us
b,0.0,5,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,3936.028,us
b,0.0,5,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,187.586,us
b,0.0,5,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,82.08,us
b,0.0,5,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,176.986,us
b,0.0,5,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,381.909,us
b,0.0,5,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,1189.97,us
b,0.0,5,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,204.412,us
b,0.0,5,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,401.06,us
b,0.0,6,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,345.28,us
b,0.0,6,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,10848.679,us
b,0.0,6,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,365.197,us
b,0.0,6,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,186.082,us
b,0.0,6,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,29407.273,us
b,0.0,6,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,400.796,us
b,0.0,6,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,80.989,us
b,0.0,6,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,27740.548,us
b,0.0,6,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,341.852,us
b,0.0,6,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,87.505,us
b,0.0,6,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,46431.956,us
b,0.0,6,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,377.218,us
b,0.0,6,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,192.866,us
b,0.0,6,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,223.265,us
b,0.0,6,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,194.962,us
b,0.0,6,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,183.738,us
b,0.0,6,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,225.973,us
b,0.0,6,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,240.702,us
b,0.0,6,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,182.493,us
b,0.0,6,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,245.474,us
b,0.0,6,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,346.498,us
b,0.0,7,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,189.501,us
b,0.0,7,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,2630.802,us
b,0.0,7,6,Comm_F_4_1_2 -> Comm_B_0_3_2,receiver_release,282.484,us
b,0.0,7,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_dispatch,76.057,us
b,0.0,7,8,Comm_F_5_1_2 -> Comm_B_1_3_2,signal_transit,25401.546,us
b,0.0,7,8,Comm_F_5_1_2 -> Comm_B_1_3_2,receiver_release,336.109,us
b,0.0,7,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_dispatch,192.408,us
b,0.0,7,10,Comm_F_6_1_2 -> Comm_B_2_3_2,signal_transit,26348.263,us
b,0.0,7,10,Comm_F_6_1_2 -> Comm_B_2_3_2,receiver_release,479.526,us
b,0.0,7,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_dispatch,85.408,us
b,0.0,7,12,Comm_F_7_1_2 -> Comm_B_3_3_2,signal_transit,47911.03,us
b,0.0,7,12,Comm_F_7_1_2 -> Comm_B_3_3_2,receiver_release,345.218,us
b,0.0,7,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_dispatch,194.429,us
b,0.0,7,1,Comm_B_0_3_2 -> Comm_F_5_1_2,signal_transit,2899.138,us
b,0.0,7,1,Comm_B_0_3_2 -> Comm_F_5_1_2,receiver_release,296.929,us
b,0.0,7,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_dispatch,199.24,us
b,0.0,7,3,Comm_B_1_3_2 -> Comm_F_6_1_2,signal_transit,251.38,us
b,0.0,7,3,Comm_B_1_3_2 -> Comm_F_6_1_2,receiver_release,360.043,us
b,0.0,7,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_dispatch,189.409,us
b,0.0,7,5,Comm_B_2_3_2 -> Comm_F_7_1_2,signal_transit,222.158,us
b,0.0,7,5,Comm_B_2_3_2 -> Comm_F_7_1_2,receiver_release,294.627,us
b,0.0,8,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_dispatch,341.02,us
b,0.0,8,6,Comm_F_4_1_2 -> Comm_B_0_3_2,signal_transit,4282.771,us
