pair,execution_order,mode,iteration,milliseconds
screen_1f1b_first,1F1B->Magellan,1F1B,6,457.8
screen_1f1b_first,1F1B->Magellan,1F1B,7,450.4
screen_1f1b_first,1F1B->Magellan,1F1B,8,413.2
screen_1f1b_first,1F1B->Magellan,1F1B,9,421.3
screen_1f1b_first,1F1B->Magellan,1F1B,10,451.6
screen_1f1b_first,1F1B->Magellan,1F1B,11,503.7
screen_1f1b_first,1F1B->Magellan,1F1B,12,406.5
screen_1f1b_first,1F1B->Magellan,1F1B,13,434.4
screen_1f1b_first,1F1B->Magellan,1F1B,14,460.8
screen_1f1b_first,1F1B->Magellan,1F1B,15,466.9
screen_1f1b_first,1F1B->Magellan,1F1B,16,441.3
screen_1f1b_first,1F1B->Magellan,1F1B,17,444.9
screen_1f1b_first,1F1B->Magellan,1F1B,18,443.9
screen_1f1b_first,1F1B->Magellan,1F1B,19,441.4
screen_1f1b_first,1F1B->Magellan,Magellan,6,396.3
screen_1f1b_first,1F1B->Magellan,Magellan,7,480.2
screen_1f1b_first,1F1B->Magellan,Magellan,8,440.7
screen_1f1b_first,1F1B->Magellan,Magellan,9,445.8
screen_1f1b_first,1F1B->Magellan,Magellan,10,450.7
screen_1f1b_first,1F1B->Magellan,Magellan,11,416.3
screen_1f1b_first,1F1B->Magellan,Magellan,12,441.9
screen_1f1b_first,1F1B->Magellan,Magellan,13,441.0
screen_1f1b_first,1F1B->Magellan,Magellan,14,428.6
screen_1f1b_first,1F1B->Magellan,Magellan,15,436.6
screen_1f1b_first,1F1B->Magellan,Magellan,16,427.7
screen_1f1b_first,1F1B->Magellan,Magellan,17,419.7
screen_1f1b_first,1F1B->Magellan,Magellan,18,439.6
screen_1f1b_first,1F1B->Magellan,Magellan,19,433.7
A_magellan_first,Magellan->1F1B,1F1B,6,350.0
A_magellan_first,Magellan->1F1B,1F1B,7,344.1
A_magellan_first,Magellan->1F1B,1F1B,8,346.9
A_magellan_first,Magellan->1F1B,1F1B,9,352.3
A_magellan_first,Magellan->1F1B,1F1B,10,352.3
A_magellan_first,Magellan->1F1B,1F1B,11,343.9
A_magellan_first,Magellan->1F1B,1F1B,12,350.8
A_magellan_first,Magellan->1F1B,1F1B,13,348.9
A_magellan_first,Magellan->1F1B,1F1B,14,351.3
A_magellan_first,Magellan->1F1B,1F1B,15,349.4
A_magellan_first,Magellan->1F1B,1F1B,16,347.3
A_magellan_first,Magellan->1F1B,1F1B,17,347.4
A_magellan_first,Magellan->1F1B,1F1B,18,424.2
A_magellan_first,Magellan->1F1B,1F1B,19,455.6
A_magellan_first,Magellan->1F1B,Magellan,6,431.7
A_magellan_first,Magellan->1F1B,Magellan,7,460.3
A_magellan_first,Magellan->1F1B,Magellan,8,420.9
A_magellan_first,Magellan->1F1B,Magellan,9,415.1
A_magellan_first,Magellan->1F1B,Magellan,10,422.8
A_magellan_first,Magellan->1F1B,Magellan,11,423.3
A_magellan_first,Magellan->1F1B,Magellan,12,422.1
A_magellan_first,Magellan->1F1B,Magellan,13,429.2
A_magellan_first,Magellan->1F1B,Magellan,14,438.6
A_magellan_first,Magellan->1F1B,Magellan,15,427.2
A_magellan_first,Magellan->1F1B,Magellan,16,418.5
A_magellan_first,Magellan->1F1B,Magellan,17,429.6
A_magellan_first,Magellan->1F1B,Magellan,18,410.0
A_magellan_first,Magellan->1F1B,Magellan,19,419.0
B_1f1b_first,1F1B->Magellan,1F1B,6,435.8
B_1f1b_first,1F1B->Magellan,1F1B,7,499.7
B_1f1b_first,1F1B->Magellan,1F1B,8,460.6
B_1f1b_first,1F1B->Magellan,1F1B,9,433.3
B_1f1b_first,1F1B->Magellan,1F1B,10,357.9
B_1f1b_first,1F1B->Magellan,1F1B,11,438.7
B_1f1b_first,1F1B->Magellan,1F1B,12,434.2
B_1f1b_first,1F1B->Magellan,1F1B,13,463.5
B_1f1b_first,1F1B->Magellan,1F1B,14,442.7
B_1f1b_first,1F1B->Magellan,1F1B,15,460.6
B_1f1b_first,1F1B->Magellan,1F1B,16,458.6
B_1f1b_first,1F1B->Magellan,1F1B,17,445.4
B_1f1b_first,1F1B->Magellan,1F1B,18,444.3
B_1f1b_first,1F1B->Magellan,1F1B,19,453.4
B_1f1b_first,1F1B->Magellan,Magellan,6,445.9
B_1f1b_first,1F1B->Magellan,Magellan,7,456.1
B_1f1b_first,1F1B->Magellan,Magellan,8,383.4
B_1f1b_first,1F1B->Magellan,Magellan,9,393.6
B_1f1b_first,1F1B->Magellan,Magellan,10,407.8
B_1f1b_first,1F1B->Magellan,Magellan,11,435.6
B_1f1b_first,1F1B->Magellan,Magellan,12,451.9
B_1f1b_first,1F1B->Magellan,Magellan,13,440.2
B_1f1b_first,1F1B->Magellan,Magellan,14,418.7
B_1f1b_first,1F1B->Magellan,Magellan,15,400.5
B_1f1b_first,1F1B->Magellan,Magellan,16,418.3
B_1f1b_first,1F1B->Magellan,Magellan,17,426.6
B_1f1b_first,1F1B->Magellan,Magellan,18,399.6
B_1f1b_first,1F1B->Magellan,Magellan,19,436.8
C_magellan_first,Magellan->1F1B,1F1B,6,354.3
C_magellan_first,Magellan->1F1B,1F1B,7,354.8
C_magellan_first,Magellan->1F1B,1F1B,8,340.3
C_magellan_first,Magellan->1F1B,1F1B,9,364.8
C_magellan_first,Magellan->1F1B,1F1B,10,324.3
C_magellan_first,Magellan->1F1B,1F1B,11,384.6
C_magellan_first,Magellan->1F1B,1F1B,12,440.9
C_magellan_first,Magellan->1F1B,1F1B,13,465.3
C_magellan_first,Magellan->1F1B,1F1B,14,452.8
C_magellan_first,Magellan->1F1B,1F1B,15,450.4
C_magellan_first,Magellan->1F1B,1F1B,16,447.3
C_magellan_first,Magellan->1F1B,1F1B,17,444.2
C_magellan_first,Magellan->1F1B,1F1B,18,343.6
C_magellan_first,Magellan->1F1B,1F1B,19,417.4
C_magellan_first,Magellan->1F1B,Magellan,6,413.2
C_magellan_first,Magellan->1F1B,Magellan,7,446.4
C_magellan_first,Magellan->1F1B,Magellan,8,423.1
C_magellan_first,Magellan->1F1B,Magellan,9,423.2
C_magellan_first,Magellan->1F1B,Magellan,10,364.4
C_magellan_first,Magellan->1F1B,Magellan,11,411.6
C_magellan_first,Magellan->1F1B,Magellan,12,422.2
C_magellan_first,Magellan->1F1B,Magellan,13,454.2
C_magellan_first,Magellan->1F1B,Magellan,14,425.8
C_magellan_first,Magellan->1F1B,Magellan,15,453.7
C_magellan_first,Magellan->1F1B,Magellan,16,432.7
C_magellan_first,Magellan->1F1B,Magellan,17,419.6
C_magellan_first,Magellan->1F1B,Magellan,18,420.2
C_magellan_first,Magellan->1F1B,Magellan,19,425.4
