config_id,model,profile,mode,iteration,milliseconds
D1,Dense,compute-heavy,1F1B,6,296.7
D1,Dense,compute-heavy,1F1B,7,317.7
D1,Dense,compute-heavy,1F1B,8,318.0
D1,Dense,compute-heavy,1F1B,9,321.0
D1,Dense,compute-heavy,1F1B,10,318.5
D1,Dense,compute-heavy,1F1B,11,257.5
D1,Dense,compute-heavy,1F1B,12,313.3
D1,Dense,compute-heavy,1F1B,13,317.7
D1,Dense,compute-heavy,1F1B,14,323.6
D1,Dense,compute-heavy,1F1B,15,315.1
D1,Dense,compute-heavy,1F1B,16,294.4
D1,Dense,compute-heavy,1F1B,17,273.4
D1,Dense,compute-heavy,1F1B,18,238.1
D1,Dense,compute-heavy,1F1B,19,287.2
D1,Dense,compute-heavy,Magellan,6,211.7
D1,Dense,compute-heavy,Magellan,7,255.0
D1,Dense,compute-heavy,Magellan,8,295.2
D1,Dense,compute-heavy,Magellan,9,303.5
D1,Dense,compute-heavy,Magellan,10,310.0
D1,Dense,compute-heavy,Magellan,11,304.6
D1,Dense,compute-heavy,Magellan,12,286.3
D1,Dense,compute-heavy,Magellan,13,255.6
D1,Dense,compute-heavy,Magellan,14,282.0
D1,Dense,compute-heavy,Magellan,15,280.8
D1,Dense,compute-heavy,Magellan,16,279.0
D1,Dense,compute-heavy,Magellan,17,290.7
D1,Dense,compute-heavy,Magellan,18,275.6
D1,Dense,compute-heavy,Magellan,19,257.6
D2,Dense,communication-richer,1F1B,6,465.5
D2,Dense,communication-richer,1F1B,7,543.5
D2,Dense,communication-richer,1F1B,8,496.0
D2,Dense,communication-richer,1F1B,9,513.4
D2,Dense,communication-richer,1F1B,10,456.6
D2,Dense,communication-richer,1F1B,11,542.5
D2,Dense,communication-richer,1F1B,12,561.1
D2,Dense,communication-richer,1F1B,13,588.7
D2,Dense,communication-richer,1F1B,14,460.7
D2,Dense,communication-richer,1F1B,15,546.6
D2,Dense,communication-richer,1F1B,16,554.2
D2,Dense,communication-richer,1F1B,17,557.5
D2,Dense,communication-richer,1F1B,18,560.9
D2,Dense,communication-richer,1F1B,19,571.8
D2,Dense,communication-richer,Magellan,6,540.3
D2,Dense,communication-richer,Magellan,7,599.0
D2,Dense,communication-richer,Magellan,8,604.3
D2,Dense,communication-richer,Magellan,9,598.0
D2,Dense,communication-richer,Magellan,10,552.0
D2,Dense,communication-richer,Magellan,11,583.6
D2,Dense,communication-richer,Magellan,12,585.6
D2,Dense,communication-richer,Magellan,13,582.3
D2,Dense,communication-richer,Magellan,14,581.6
D2,Dense,communication-richer,Magellan,15,591.0
D2,Dense,communication-richer,Magellan,16,588.5
D2,Dense,communication-richer,Magellan,17,610.7
D2,Dense,communication-richer,Magellan,18,578.7
D2,Dense,communication-richer,Magellan,19,571.5
M1,MoE,compute-heavy,1F1B,6,839.1
M1,MoE,compute-heavy,1F1B,7,687.8
M1,MoE,compute-heavy,1F1B,8,831.5
M1,MoE,compute-heavy,1F1B,9,831.3
M1,MoE,compute-heavy,1F1B,10,855.2
M1,MoE,compute-heavy,1F1B,11,880.8
M1,MoE,compute-heavy,1F1B,12,884.2
M1,MoE,compute-heavy,1F1B,13,882.6
M1,MoE,compute-heavy,1F1B,14,897.5
M1,MoE,compute-heavy,1F1B,15,849.1
M1,MoE,compute-heavy,1F1B,16,857.6
M1,MoE,compute-heavy,1F1B,17,858.3
M1,MoE,compute-heavy,1F1B,18,850.2
M1,MoE,compute-heavy,1F1B,19,777.3
M1,MoE,compute-heavy,Magellan,6,893.0
M1,MoE,compute-heavy,Magellan,7,816.7
M1,MoE,compute-heavy,Magellan,8,835.6
M1,MoE,compute-heavy,Magellan,9,832.2
M1,MoE,compute-heavy,Magellan,10,953.8
M1,MoE,compute-heavy,Magellan,11,958.3
M1,MoE,compute-heavy,Magellan,12,931.4
M1,MoE,compute-heavy,Magellan,13,941.7
M1,MoE,compute-heavy,Magellan,14,912.5
M1,MoE,compute-heavy,Magellan,15,906.2
M1,MoE,compute-heavy,Magellan,16,925.9
M1,MoE,compute-heavy,Magellan,17,932.7
M1,MoE,compute-heavy,Magellan,18,880.5
M1,MoE,compute-heavy,Magellan,19,932.3
M2,MoE,communication-richer,1F1B,6,778.3
M2,MoE,communication-richer,1F1B,7,838.7
M2,MoE,communication-richer,1F1B,8,855.7
M2,MoE,communication-richer,1F1B,9,886.9
M2,MoE,communication-richer,1F1B,10,875.3
M2,MoE,communication-richer,1F1B,11,851.9
M2,MoE,communication-richer,1F1B,12,878.6
M2,MoE,communication-richer,1F1B,13,866.7
M2,MoE,communication-richer,1F1B,14,864.3
M2,MoE,communication-richer,1F1B,15,862.4
M2,MoE,communication-richer,1F1B,16,868.5
M2,MoE,communication-richer,1F1B,17,851.1
M2,MoE,communication-richer,1F1B,18,852.3
M2,MoE,communication-richer,1F1B,19,827.9
M2,MoE,communication-richer,Magellan,6,843.6
M2,MoE,communication-richer,Magellan,7,874.6
M2,MoE,communication-richer,Magellan,8,919.2
M2,MoE,communication-richer,Magellan,9,819.0
M2,MoE,communication-richer,Magellan,10,958.3
M2,MoE,communication-richer,Magellan,11,773.6
M2,MoE,communication-richer,Magellan,12,889.4
M2,MoE,communication-richer,Magellan,13,914.8
M2,MoE,communication-richer,Magellan,14,890.5
M2,MoE,communication-richer,Magellan,15,889.5
M2,MoE,communication-richer,Magellan,16,898.3
M2,MoE,communication-richer,Magellan,17,928.7
M2,MoE,communication-richer,Magellan,18,882.7
M2,MoE,communication-richer,Magellan,19,912.7
